Date,2020,2019
3/1,2280522,2301439
3/2,2089641,2257920
3/3,1736393,1979558
3/4,1877401,2143619
3/5,2130015,2402692
3/6,2198517,2543689
3/7,1844811,2156262
3/8,2119867,2485430
3/9,1909363,2378673
3/10,1617220,2122898
3/11,1702686,2187298
3/12,1788456,2503924
3/13,1714372,2634215
3/14,1485553,2274658
3/15,1519192,2545742
3/16,1257823,2465709
3/17,953699,2177929
3/18,779631,2320885
3/19,620883,2513231
3/20,593167,2559307
3/21,548132,2227181
3/22,454516,2542643
3/23,331431,2434370
3/24,279018,2151913
3/25,239234,2273811
3/26,203858,2487162
3/27,199644,2538384
3/28,184027,2172920
3/29,180002,2510294
3/30,154080,2360053
3/31,146348,2026256
4/1,136023,2151626
4/2,124021,2411500
4/3,129763,2476884
4/4,118302,2011715
4/5,122029,2462929
4/6,108310,2384091
4/7,97130,2091056
4/8,94931,2229276
4/9,104090,2487398
4/10,108977,2590499
4/11,93645,2059142
4/12,90510,2446801
4/13,102184,2484580
4/14,87534,2208688
4/15,90784,2317381
4/16,95085,2616158
4/17,106385,2457133
4/18,97236,1988205
4/19,105382,2356802
4/20,99344,2594171
4/21,92859,2227475
4/22,98968,2254209
4/23,111627,2526961
4/24,123464,2521897
4/25,114459,1990464
4/26,128875,2506809
4/27,119854,2412770
4/28,110913,2102068
4/29,119629,2256442
4/30,154695,2499461
5/1,171563,2546029
5/2,134261,1968278
5/3,170254,2512598
5/4,163692,2470969
5/5,130601,2106597
5/6,140409,2270662
5/7,190863,2555342
5/8,215444,2602631
5/9,169580,1985942
5/10,200815,2419114
5/11,215645,2512315
5/12,163205,2191387
5/13,176667,2343675
5/14,234928,2611324
5/15,250467,2664549
5/16,193340,2091116
5/17,253807,2620276
5/18,244176,2615691
5/19,190477,2312727
5/20,230367,2472123
5/21,318449,2673635
5/22,348673,2792670
5/23,253190,2124825
5/24,267451,2070716
5/25,340769,2512237
5/26,264843,2453649
5/27,261170,2269035
5/28,321776,2485770
5/29,327133,2570613
5/30,268867,2117180
5/31,352947,2555578
6/1,353261,2499002
6/2,267742,2247421
6/3,304436,2370152
6/4,391882,2623947
6/5,419675,2649808
6/6,353016,2225952
6/7,441255,2669860
6/8,430414,2644981
6/9,338382,2433189
6/10,386969,2509058
6/11,502209,2675686
6/12,519304,2727860
6/13,437119,2318946
6/14,544046,2642083
6/15,534528,2699580
6/16,417924,2466574
6/17,441829,2552395
6/18,576514,2728786
6/19,587908,2772903
6/20,507129,2378559
6/21,590456,2719643
6/22,607540,2716428
6/23,471421,2506510
6/24,494826,2594661
6/25,623624,2711222
6/26,632984,2730515
6/27,546310,2368846
6/28,633810,2632030
6/29,625235,2455536
6/30,500054,2347767
7/1,626516,2547889
7/2,764761,2088760
7/3,718988,2184253
7/4,466669,2345846
7/5,732123,2795369
7/6,755555,2748718
7/7,641761,2506859
7/8,632498,2515902
7/9,709653,2608209
7/10,711124,2716812
7/11,656284,2312178
7/12,754545,2669717
7/13,697985,2615115
