date,actual,projected
1/2020,152212.0,
2/2020,152463.0,
3/2020,151090.0,
4/2020,130303.0,
5/2020,133002.0,
6/2020,137802.0,
7/2020,139582,139582
8/2020,,141000
9/2020,,142130
10/2020,,143450
11/2020,,144130
12/2020,,144840
1/2021,,145170
2/2021,,145430
3/2021,,145660
